Number,Episode,Season,Stars,total_votes,Summary,Title,original_air_date
1,1,1,7.7,4624,"An ex-lawyer is forced to return to community college to get a degree. However, he tries to use the skills he learned as a lawyer to get the answers to all his tests and pick up on a sexy woman in his Spanish class.",Pilot,9/17/2009
2,2,1,7.8,4034,"Jeff takes steps to ensure that Britta will be his partner in Spanish class, but winds up with Pierce instead.",Spanish 101,9/24/2009
3,3,1,8.2,3978,"Britta comes between Abed and his father when she signs him up for a film class, and Jeff risks failing a class unless he ""seizes the day.""",Introduction to Film,10/1/2009
4,4,1,8.1,3665,"Jeff and Shirley bond by making fun of Britta's new hippie boyfriend, which doesn't go well for any involved. Meanwhile, Troy and Abed become pawns in Annie's psychology experiment.",Social Psychology,10/8/2009
5,5,1,7.8,3506,"Señor Chang is on the hunt for a cheater and threatens to fail the entire class if the culprit doesn't come forward. When someone confesses, Jeff comes to their defense. Meanwhile, Annie recruits Pierce to write the new school song.",Advanced Criminal Law,10/15/2009
6,6,1,7.7,3446,"Jeff talks Troy into playing for the college's football team, sparking Annie's anger. Pierce helps the dean come up with a new mascot, and Britta tries to become Shirley's bathroom friend.","Football, Feminism and You",10/22/2009
7,7,1,8.7,4038,Will Jeff blow off Annie's Halloween party and sell out his other classmates in order to get a chance to score with a sexy professor?,Introduction to Statistics,10/29/2009
8,8,1,7.9,3376,"When Jeff loses his home and his car, he is forced to move into Abed's dorm room. Troy has a big date, but why is a jealous Annie trying to help? Meanwhile, Pierce becomes the keyboardist for Vaughn's band.",Home Economics,11/5/2009
9,9,1,8.8,4069,"Jeff reluctantly agrees to be Annie's debate partner, Britta humors Pierce by letting him try hypnotherapy on her to get her to stop smoking, and the gang begins to think that Abed's films may predict their future.",Debate 109,11/12/2009
10,10,1,8.2,3420,"Jeff hangs out with Senor Chang to get out of an essay, angering the rest of the group. Meanwhile, Abed and Troy search for their missing lab mouse, and Pierce helps Shirley out with a presentation.",Environmental Science,11/19/2009
